ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl,Property url
11152623,Fredegandus Van Rielstraat,27,201,2,Deurne (2100),2100,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,299000,residential_sale,2017,2,,INSTALLED,,0,1,6,,,,,,B,51.2096059,4.4759977,,https://www.immoweb.be/en/classified/apartment/for-sale/deurne-2100/2100/11152623
10911916,,,,22,Antwerp,2000,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,1290000,residential_sale,2021,2,146,USA_HYPER_EQUIPPED,,0,1,18,,,,,AS_NEW,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10911916
11141205,Hoge-Aardstraat,36A,21,2,Wilrijk,2610,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,320000,residential_sale,1958,3,98,USA_HYPER_EQUIPPED,0,0,,,,,3,,GOOD,C,51.1752156,4.4285871,,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/11141205
11163987,Diepestraat,65,101,1,Antwerpen (2060),2060,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,179500,residential_sale,,1,65,,,0,,,,,,,AS_NEW,B,51.2237298,4.4244469,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2060/2060/11163987
11161914,Cellebroedersstraat,"6,11.04",,4,Antwerp,2000,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,325000,residential_sale,2021,1,79,,,0,1,7,,,2,0,AS_NEW,A,51.2187116,4.4122243,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11161914
11153014,Waversesteenweg,4,A1.1,1,Putte,2580,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,349175,residential_sale,2024,2,95,HYPER_EQUIPPED,,0,1,,,,,,,,51.0594984,4.6273196,,https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/11153014
11153016,Waversesteenweg,4,B2.2,2,Putte,2580,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,474613,residential_sale,2024,3,130,HYPER_EQUIPPED,,0,1,,,,,,,,51.0594984,4.6273196,,https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/11153016
11153013,Waversesteenweg,4,A2.1,2,Putte,2580,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,477129,residential_sale,2024,2,91,HYPER_EQUIPPED,,0,1,70,,,,,,,51.0594984,4.6273196,,https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/11153013
11153015,Waversesteenweg,4,B2.7,2,Putte,2580,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,549927,residential_sale,2024,3,165,HYPER_EQUIPPED,,0,1,,,,,,,,51.0594984,4.6273196,,https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/11153015
11093563,Breendonkstraat,317,,1,Willebroek,2830,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,375000,residential_sale,2018,2,147,INSTALLED,,0,1,15,,,,0,AS_NEW,A,51.0421564,4.333773,,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/11093563
11154681,Mechelsesteenweg,,,3,Antwerp,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,369000,residential_sale,,2,122,,0,0,1,4,,,2,,GOOD,B,51.2056884,4.4102319,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/11154681
11154634,Mechelsesteenweg,,,3,Antwerp,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,740000,residential_sale,,4,255,,0,0,1,8,,,2,,GOOD,B,51.2056884,4.4102319,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/11154634
