PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
,11148788,Avenue Mutsaard,77,54,12,Bruxelles,1020,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,199000,residential_sale,1967,2,71,SEMI_EQUIPPED,,False,True,7,,,2,False,TO_RENOVATE,E,50.9010388,4.3582903
,11149708,Avenue Circulaire,144C,,6,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,665000,residential_sale,1960,3,140,HYPER_EQUIPPED,False,False,True,14,,,2,False,GOOD,E,50.7977584,4.3557219
,11137668,Rue de la Poste,93,,4,Schaerbeek,1030,BRUSSELS,Brussels,Brussels,APARTMENT,DUPLEX,250000,residential_sale,2015,1,65,USA_HYPER_EQUIPPED,False,False,,,,,2,False,AS_NEW,C,50.8582161,4.3670991
,11137641,Molenlei,98,,1,Mortsel,2640,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,249000,residential_sale,1963,1,83,INSTALLED,,True,True,2,,,,,GOOD,B,51.1630463,4.4461849
,11139941,Guido Gezellelaan,102,01,2,Deinze,9800,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,249000,residential_sale,1968,4,170,INSTALLED,,False,True,74,,,,,TO_BE_DONE_UP,B,50.9813868,3.5337153
,11146498,Rue Balatum,20,205,2,Genval,1332,WALLONIE,Nivelles,Walloon Brabant,APARTMENT,FLAT_STUDIO,249000,residential_sale,2018,0,50,USA_HYPER_EQUIPPED,False,False,True,8,,,,False,AS_NEW,A,50.720721,4.5123396
,11147420,Rue des Écoles,13, 2C/013,1,MONTEGNÉE,4420,WALLONIE,Liège,Liège,APARTMENT,APARTMENT,204303,residential_sale,2022,2,80,INSTALLED,,True,True,5,,,2,,AS_NEW,B,50.6419582,5.5208475
,11146190,Victor Gilsoullaan,12,,1,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,425000,residential_sale,1961,2,83,USA_HYPER_EQUIPPED,False,False,,,True,,2,False,JUST_RENOVATED,G,50.8416606,4.4198909
,11146194,Avenue de Tervueren,13,,4,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,PENTHOUSE,875000,residential_sale,1912,2,187,USA_HYPER_EQUIPPED,False,False,True,25,,,3,False,JUST_RENOVATED,C,50.8389025,4.3986498
,11147702,Square Ambiorix,40,,7,Brussels City,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,395000,residential_sale,1969,2,95,HYPER_EQUIPPED,False,False,True,5,,,2,False,AS_NEW,D,50.8461345,4.3830621
,11146189,Rue Gaucheret,6,,2,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,330000,residential_sale,2012,2,97,USA_HYPER_EQUIPPED,False,False,True,5,,,2,False,AS_NEW,C,50.8626863,4.3602658
,11146271,Rue Souveraine,27,2,1,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,395000,residential_sale,1900,2,82,HYPER_EQUIPPED,,False,,,,,4,False,AS_NEW,C,50.8329825,4.3646617
,11147421,Rue des Écoles,13, 2C/011,1,MONTEGNÉE,4420,WALLONIE,Liège,Liège,APARTMENT,APARTMENT,162138,residential_sale,2022,1,60,INSTALLED,,True,,,,,2,,AS_NEW,B,50.6419582,5.5208475
,11147416,Rue des Écoles,13, 2B/012,1,MONTEGNÉE,4420,WALLONIE,Liège,Liège,APARTMENT,APARTMENT,168652,residential_sale,2022,1,53,INSTALLED,,True,True,7,,,2,,AS_NEW,B,50.6419582,5.5208475
,11147008,Chemin des Deux Maisons,8,,3,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,FLAT_STUDIO,155000,residential_sale,1973,0,22,,True,False,,,,,2,False,GOOD,D,50.849049,4.4291383
,11148718,Rue des Carburants,1,,1,Forest,1190,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,399000,residential_sale,2023,3,127,USA_HYPER_EQUIPPED,,False,True,,,,2,,AS_NEW,B,50.8139605,4.3207534
,11156463,Avenue Molière,12,,1,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,445000,residential_sale,1930,2,129,,,False,True,9,,,2,False,TO_RENOVATE,F,50.8155932,4.3401837
,11148806,Rue des Drapiers,"2,25",,4,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,1495000,residential_sale,2015,3,174,USA_HYPER_EQUIPPED,,False,True,40,,,2,False,AS_NEW,B,50.8352339,4.3590931
,11148716,Avenue de Selliers de Moranville,31,,1,BERCHEM-SAINTE-AGATHE,1082,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,339000,residential_sale,2023,2,88,USA_HYPER_EQUIPPED,,False,True,7,,,3,False,AS_NEW,B,50.868523,4.2911622
,11156620,Heiveldstraat,225,,2,Gent Sint-Amandsberg,9040,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,280000,residential_sale,1979,2,110,,False,False,True,6,,,3,False,TO_BE_DONE_UP,D,51.0648284,3.7608413
,11136885,Leopold Ii-Laan,"7,02.01",,2,Oostende,8400,FLANDERS,Oostend,West Flanders,APARTMENT,APARTMENT,369000,residential_sale,1986,2,80,INSTALLED,False,False,True,5,,,2,False,AS_NEW,B,51.2286718,2.9159118
,11079381,Dendermondsesteenweg,11, 1.2,1,Willebroek,2830,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,205000,residential_sale,2008,1,65,HYPER_EQUIPPED,,True,True,5,,,,,GOOD,B,51.0604508,4.3592377
