,PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
96,,11152288,Vloerstraat,67,,,HERENT,3020,FLANDERS,Leuven,Flemish Brabant,HOUSE,HOUSE,425000,residential_sale,1974.0,5,250,INSTALLED,,False,True,30.0,True,1580.0,3.0,,GOOD,C,50.9163143,4.6794646
97,,11152762,Emiel Lossystraat,59,,,SINT-AMANDSBERG,9040,FLANDERS,Gent,East Flanders,HOUSE,HOUSE,295000,residential_sale,1936.0,3,127,INSTALLED,,False,True,15.0,,201.0,2.0,,TO_BE_DONE_UP,D,51.0492977,3.7599721
98,,11137923,Braambezielaan,10,,,Gent Wondelgem,9032,FLANDERS,Gent,East Flanders,HOUSE,HOUSE,418000,residential_sale,1986.0,3,143,USA_HYPER_EQUIPPED,False,False,True,25.0,True,261.0,2.0,False,AS_NEW,D,51.0800218,3.7027816
99,,11080049,Chaussée de Mons,747,,,Anderlecht,1070,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,380000,residential_sale,1918.0,5,147,INSTALLED,False,False,True,10.0,,91.0,2.0,False,TO_BE_DONE_UP,F,50.8299256,4.3071012
100,,11132404,Rue de Sart,76,,,COURT-SAINT-ETIENNE,1490,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,595000,residential_sale,1980.0,4,200,INSTALLED,False,True,True,70.0,True,1333.0,4.0,,JUST_RENOVATED,D,50.6244586,4.5627382
101,,11131307,Olmenstraat,76,,,Zaventem,1930,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,HOUSE,349000,residential_sale,1952.0,4,147,HYPER_EQUIPPED,False,False,True,20.0,True,179.0,2.0,False,JUST_RENOVATED,C,50.8920373,4.4652467
102,,11139236,Lindanusstraat,39,,,Dendermonde,9200,FLANDERS,Dendermonde,East Flanders,HOUSE,MANSION,449000,residential_sale,1919.0,5,301,,,True,,,True,215.0,2.0,,TO_BE_DONE_UP,E,51.0284841,4.1032699
103,,11131905,Koning Boudewijnlaan,77,,,Dendermonde,9200,FLANDERS,Dendermonde,East Flanders,HOUSE,HOUSE,324900,residential_sale,1964.0,2,128,INSTALLED,,True,True,45.0,True,317.0,2.0,,GOOD,B,51.0351704,4.0856204
104,,11130919,Bredestraat,247,,,Ronse,9600,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,265000,residential_sale,1946.0,3,169,INSTALLED,False,False,True,27.0,,100.0,2.0,False,AS_NEW,C,50.7477588,3.6156619
105,,11156127,De Vroente,46,,,Brasschaat,2930,FLANDERS,Antwerp,Antwerp,HOUSE,HOUSE,379000,residential_sale,1938.0,2,215,INSTALLED,,True,True,,True,361.0,2.0,,TO_BE_DONE_UP,F,51.29504,4.4482871
106,,11153359,Rue de Rocourt,119,,,Liège,4000,WALLONIE,Liège,Liège,HOUSE,HOUSE,290000,residential_sale,1956.0,3,132,USA_HYPER_EQUIPPED,,False,True,24.0,True,224.0,2.0,False,GOOD,D,50.6597739,5.564159
107,,11132583,Avenue de la Vecquée,48,,,Neupré,4121,WALLONIE,Liège,Liège,HOUSE,HOUSE,259000,residential_sale,1964.0,3,167,INSTALLED,False,False,True,20.0,True,601.0,3.0,False,GOOD,E,50.5485154,5.4885732
108,,11130920,Aatstraat,84,,,Ronse,9600,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,249000,residential_sale,1953.0,3,156,INSTALLED,False,False,,,True,555.0,3.0,False,TO_BE_DONE_UP,F,50.7403801,3.6094447
109,,11114313,Schouwingstraat,22,,,Gent,9032,FLANDERS,Gent,East Flanders,HOUSE,HOUSE,395000,residential_sale,,3,155,INSTALLED,,False,,,True,89.0,3.0,False,JUST_RENOVATED,B,51.1002709,3.7119213
110,,11153109,Frans Vanfraechemlaan,9,,,Tervuren,3080,FLANDERS,Leuven,Flemish Brabant,HOUSE,VILLA,825000,residential_sale,1975.0,6,295,INSTALLED,False,False,True,,,1362.0,4.0,False,GOOD,C,50.8393085,4.5408751
111,,11153604,Rue de Jupille,27,,,Beyne-Heusay,4610,WALLONIE,Liège,Liège,HOUSE,HOUSE,159000,residential_sale,1918.0,2,70,INSTALLED,False,False,True,9.0,,90.0,2.0,False,GOOD,E,50.623819,5.6522808
112,,11154145,Molenstraat,15,,,Outrijve,8582,FLANDERS,Kortrijk,West Flanders,HOUSE,HOUSE,269500,residential_sale,1969.0,3,140,INSTALLED,,True,True,,,188.0,3.0,,GOOD,C,50.7586842,3.427886
113,,11135101,Rue du Chêne,203,,,Seraing,4100,WALLONIE,Liège,Liège,HOUSE,MIXED_USE_BUILDING,329000,residential_sale,1900.0,5,110,NOT_INSTALLED,False,False,True,45.0,True,1640.0,2.0,False,TO_RENOVATE,E,50.6013668,5.5164525
114,,11146420,Rotterij,284,,,Ronse,9600,FLANDERS,Oudenaarde,East Flanders,HOUSE,VILLA,249000,residential_sale,1959.0,3,167,SEMI_EQUIPPED,False,False,True,20.0,True,653.0,3.0,False,TO_RENOVATE,F,50.741744,3.63402
115,,11155388,Reigerput,13,,,Waregem,8790,FLANDERS,Kortrijk,West Flanders,HOUSE,VILLA,445000,residential_sale,1985.0,3,145,INSTALLED,,False,,,True,534.0,,,AS_NEW,C,50.865792,3.3489764
116,,11146097,Steenweg naar Oudegem,101,,,Gijzegem,9308,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,369000,residential_sale,1930.0,3,217,INSTALLED,False,False,True,,,2322.0,3.0,False,TO_BE_DONE_UP,F,50.98266,4.0496187
117,,11143179,Spoorwegstraat,28,,,SCHELLEBELLE,9260,FLANDERS,Dendermonde,East Flanders,HOUSE,EXCEPTIONAL_PROPERTY,305000,residential_sale,1923.0,3,182,SEMI_EQUIPPED,,True,True,25.0,True,825.0,4.0,False,TO_RENOVATE,F,51.0031042,3.9275062
118,,11155386,Reigerput,13,,,Deerlijk,8540,FLANDERS,Kortrijk,West Flanders,HOUSE,VILLA,445000,residential_sale,1985.0,3,145,INSTALLED,,False,,,True,534.0,,,AS_NEW,C,50.865792,3.3489764
119,,11150313,Val au Bois,38,,,Kraainem,1950,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,VILLA,1025000,residential_sale,1978.0,4,225,HYPER_EQUIPPED,False,False,True,40.0,True,1554.0,4.0,,GOOD,C,50.8288926,4.4785422
120,,10949380,Rue Saint Aubin,70,,,Malmedy,4960,WALLONIE,Verviers,Liège,HOUSE,VILLA,495000,residential_sale,2012.0,3,243,INSTALLED,False,False,True,,,2208.0,4.0,False,GOOD,B,50.396538,6.0043612
