ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl
10971180,Chaussée de Louvain,615,,3,Schaerbeek,1030,BRUSSELS,Brussels,Brussels,APARTMENT,DUPLEX,325000,residential_sale,1978,2,102,HYPER_EQUIPPED,0,0,,,,,2,0,AS_NEW,D,50.8566214,4.4040687,https://www.immoweb.be/en/classified/duplex/for-sale/schaerbeek/1030/10971180
11108237,Chaussée de Boondael,501,,3,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,320000,residential_sale,1960,2,100,INSTALLED,,0,1,3,,,2,0,TO_BE_DONE_UP,D,50.8147781,4.3898334,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11108237
10981770,Lippenslaan,355,35,3,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,FLAT_STUDIO,319000,residential_sale,1968,0,30,INSTALLED,,0,1,2,,,2,0,JUST_RENOVATED,B,51.3519685,3.2886899,https://www.immoweb.be/en/classified/flat-studio/for-sale/knokke-heist/8300/10981770
10908732,Avenue de la Charmille,22,,1,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,319000,residential_sale,1972,3,105,INSTALLED,0,0,1,20,,,3,0,GOOD,C,50.8522651,4.4317499,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10908732
11051615,Tarwestraat,69, B102,1,OEDELEM,8730,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,370000,residential_sale,2013,2,120,INSTALLED,,1,1,,,,2,,GOOD,A,51.1680324,3.336583,https://www.immoweb.be/en/classified/apartment/for-sale/oedelem/8730/11051615
10835968,Voskenslaan,124,,3,Gent,9000,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,369000,residential_sale,2009,2,100,HYPER_EQUIPPED,,0,1,,,,2,0,AS_NEW,D,51.0323175,3.707297,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10835968
11041078,Vanderstichelenstraat,32,,3,BLANKENBERGE,8370,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,369000,residential_sale,2022,2,79,INSTALLED,,0,1,,,,,,GOOD,A,51.3146392,3.1243211,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/11041078
11061658,Quai des Péniches,36,1.2,1,Bruxelles,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,369000,residential_sale,2019,2,90,USA_INSTALLED,0,0,1,13,,,2,0,AS_NEW,B,50.8621755,4.3499025,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11061658
11093053,Rue de Trèves,104,,3,Brussels City,1000,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,365000,residential_sale,2016,1,57,HYPER_EQUIPPED,1,0,,,,,1,,GOOD,B,50.8428636,4.3750915,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11093053
11079302,Kerselaarstraat,21,,1,Bonheiden,2820,FLANDERS,Mechelen,Antwerp,APARTMENT,LOFT,360400,residential_sale,1969,3,120,INSTALLED,,0,1,31,,,2,,GOOD,B,51.0359065,4.5278492,https://www.immoweb.be/en/classified/loft/for-sale/bonheiden/2820/11079302
