ID;Street;HouseNumber;Box;Floor;City;PostalCode;Region;District;Province;PropertyType;PropertySubType;Price;SaleType;ConstructionYear;BedroomCount;LivingArea;KitchenType;Furnished;Fireplace;Terrace;TerraceArea;Garden;GardenArea;Facades;SwimmingPool;Condition;EPCScore;Latitude;Longitude;PropertyUrl;Property url
11151820;Lefebvrestraat;20;;1;Nieuwpoort;8620;FLANDERS;Veurne;West Flanders;APARTMENT;FLAT_STUDIO;165000;residential_sale;2000;0;30;INSTALLED;TRUE;TRUE;TRUE;5;;;2;;GOOD;B;511.478.453;27.163.774;;https://www.immoweb.be/en/classified/flat-studio/for-sale/nieuwpoort/8620/11151820
11153802;Rue de Danemark;31;;1;SAINT-GILLES;1060;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;220000;residential_sale;1963;2;70;SEMI_EQUIPPED;;FALSE;;;;;2;FALSE;GOOD;E;508.319.424;43.356.801;;https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/11153802
11153901;Haspengouwstraat ;33; 2v;2;HOBOKEN;2660;FLANDERS;Antwerp;Antwerp;APARTMENT;APARTMENT;249900;residential_sale;2007;2;100;INSTALLED;;FALSE;TRUE;10;;;2;;AS_NEW;A;511.825.491;43.602.193;;https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11153901
11155334;Rue de Stalle;178;;2;Uccle;1180;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;250000;residential_sale;1952;2;74;USA_HYPER_EQUIPPED;FALSE;FALSE;;;;;2;FALSE;GOOD;G;507.960.701;43.266.107;;https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/11155334
11155256;Avenue Herbert Hoover;126;;2;SCHAERBEEK;1030;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;325000;residential_sale;1964;1;67;USA_HYPER_EQUIPPED;;FALSE;TRUE;2;;;;;JUST_RENOVATED;D;5.084.882;44.106.662;;https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/11155256
11155179;Avenue Herbert Hoover;126;;2;WOLUWE-SAINT-LAMBERT;1200;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;325000;residential_sale;1964;1;67;USA_HYPER_EQUIPPED;;FALSE;TRUE;2;;;;;JUST_RENOVATED;D;5.084.882;44.106.662;;https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11155179
11150896;Avenue George Bergmann;76;;3;Ixelles;1050;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;330000;residential_sale;1950;1;95;SEMI_EQUIPPED;FALSE;FALSE;TRUE;10;;;2;FALSE;GOOD;D;508.084.836;43.904.443;;https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11150896
11154864;ZEEDIJK;65;;2;BLANKENBERGE;8370;FLANDERS;Brugge;West Flanders;APARTMENT;APARTMENT;349000;residential_sale;1989;2;73;INSTALLED;TRUE;FALSE;TRUE;;;;2;;GOOD;C;513.143.428;31.203.675;;https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/11154864
11156779;August Nihoulstraat;75;;;Scherpenheuvel-Zichem;3270;FLANDERS;Leuven;Flemish Brabant;HOUSE;HOUSE;219000;residential_sale;;2;142;;;FALSE;TRUE;;;205;2;;TO_BE_DONE_UP;E;509.776.987;49.742.967;;https://www.immoweb.be/en/classified/house/for-sale/scherpenheuvel-zichem/3270/11156779
11156775;Place de l'Eglise;3;;;Sainte-Ode;6680;WALLONIE;Bastogne;Luxembourg;HOUSE;MIXED_USE_BUILDING;579000;residential_sale;1900;9;884;HYPER_EQUIPPED;FALSE;FALSE;TRUE;;TRUE;5200;3;FALSE;GOOD;G;500.531.252;55.107.372;;https://www.immoweb.be/en/classified/mixed-use-building/for-sale/sainte-ode/6680/11156775
